Crude oil input to refineries (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
Pacific,34,35,36,38,38,38,40,41,42,41,41,40,42,42,40,39,37,38,37,38,37,39,38,37,35,-6.5,-1.3
Australia,30,30,31,33,33,34,35,36,37,36,36,35,36,36,34,33,31,32,31,32,31,33,32,30,28,-7.5,-1.8
New Zealand,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,-0.9,0.2
Africa,107,108,108,108,107,112,116,123,112,116,109,124,124,116,119,129,117,117,120,113,122,110,111,111,122,10.4,0.9
Algeria,21,21,21,20,19,20,19,20,19,21,20,21,20,21,18,19,19,20,22,24,27,26,24,25,31,26.7,3.1
Egypt,25,26,25,27,28,29,30,30,31,28,25,29,29,30,31,32,31,33,31,30,29,26,27,24,26,5.3,0.2
Nigeria,13,14,13,13,8,10,12,10,7,9,5,11,11,6,5,10,6,3,5,3,5,6,5,5,3,-40.6,-3.8
South Africa,14,14,13,13,14,17,16,22,17,18,18,22,25,22,21,25,18,19,20,18,20,21,21,21,23,8.9,1.6
Middle-East,204,198,226,237,266,268,279,284,289,294,292,288,293,304,314,324,327,322,336,331,342,343,351,351,361,2.8,1.5
Iran,43,49,50,57,63,65,68,73,76,80,80,79,79,79,79,84,86,86,87,89,89,91,94,100,100,0.8,1.7
Kuwait,11,3,16,22,38,41,40,44,43,46,37,33,36,42,42,44,45,46,46,44,45,43,46,50,51,0.7,2.2
Saudi Arabia,75,74,82,81,82,79,89,80,81,81,83,83,81,89,96,100,99,96,101,96,96,94,98,93,106,13.6,1.7
United Arab Emirates,9,10,10,10,11,11,12,13,12,12,14,15,17,17,18,17,18,16,16,19,20,22,22,23,23,2.2,3.5
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,
