Natural gas production (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
Australia,20,21,23,24,26,29,30,30,31,32,33,34,35,34,34,36,37,40,41,42,48,51,56,62,63,1.6,4.8
New Zealand,5,5,6,5,5,5,5,6,5,6,6,6,6,5,4,4,4,4,4,4,5,4,5,5,5,10.0,-1.2
Africa,67,73,76,79,75,82,87,98,103,116,124,128,134,148,156,187,198,212,217,202,209,203,211,198,193,-2.7,3.2
Algeria,46,50,52,52,48,55,58,67,72,81,82,77,80,84,83,89,87,87,87,83,85,82,85,82,80,-1.6,-0.2
Egypt,8,9,10,12,12,13,13,13,14,17,18,23,26,29,32,52,56,60,62,62,57,56,54,51,45,-12.6,6.9
Nigeria,4,5,5,6,5,5,5,6,6,7,12,15,14,22,24,24,28,35,35,24,33,38,41,34,37,6.5,8.0
South Africa,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,40.2,-0.6
Middle-East,91,96,103,114,129,139,146,158,167,184,200,211,234,251,279,302,330,356,386,405,466,513,531,557,572,2.7,7.8
Iran,23,28,28,31,38,42,42,47,49,57,59,62,70,80,90,99,109,123,128,137,144,150,156,159,174,9.5,8.1
Kuwait,4,1,5,9,9,9,9,9,9,9,10,10,9,10,11,12,12,12,13,11,12,14,16,16,16,0.0,3.9
Saudi Arabia,24,24,27,28,30,30,31,33,34,34,38,39,46,47,51,56,59,61,67,64,73,75,81,84,87,3.7,6.2
United Arab Emirates,20,24,22,23,27,31,36,36,37,38,40,39,43,45,46,47,49,49,49,47,50,51,52,54,55,2.0,2.3
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,
