Coal and lignite domestic consumption (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
Thailand,13,15,16,17,19,21,25,26,22,22,22,25,25,25,28,30,30,32,34,33,36,40,38,36,41,13.0,4.6
Pacific,96,100,103,101,102,104,112,117,127,130,130,131,133,134,140,142,145,144,144,148,141,136,136,125,125,-0.7,-0.3
Australia,94,98,101,99,99,102,109,115,125,128,128,128,130,130,136,138,140,141,140,144,138,133,133,123,122,-0.6,-0.3
New Zealand,2,2,3,2,2,2,2,2,2,2,2,3,3,4,4,4,4,3,4,3,3,3,4,3,3,-4.6,1.7
Africa,146,144,142,145,147,155,162,167,171,164,170,169,175,183,192,189,191,200,212,203,204,194,203,206,211,2.4,1.6
Algeria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0,-6.4
Egypt,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.1,-5.1
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.9
South Africa,134,131,130,134,136,144,150,156,159,152,157,156,161,171,179,175,178,187,200,192,193,182,191,193,197,2.4,1.6
Middle-East,5,6,7,8,8,9,10,11,12,12,13,14,15,15,16,16,16,17,16,16,16,17,20,18,17,-1.3,2.2
Iran,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.7,-1.0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,n.a.
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,n.a.
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,2,2,0.0,n.a.
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,
