Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
South Korea,105,115,126,145,164,184,205,225,218,238,290,311,332,345,368,389,404,427,446,455,500,523,535,539,540,0.1,4.5
Taiwan,90,99,106,115,125,133,142,150,163,169,185,189,199,209,218,227,235,243,238,230,247,252,250,252,260,3.0,2.5
Thailand,44,50,57,63,71,80,90,93,90,90,96,102,109,117,126,132,139,143,147,148,160,156,167,168,172,2.3,4.3
Pacific,190,193,195,200,204,212,217,222,236,245,253,268,272,267,277,276,281,291,291,297,302,302,298,296,297,0.2,1.2
Australia,155,157,160,164,167,173,178,183,195,204,210,225,228,222,230,229,233,243,243,249,252,253,249,248,249,0.2,1.2
New Zealand,32,33,33,34,35,36,36,37,38,38,39,40,41,41,43,43,44,44,44,43,45,44,44,43,44,0.6,0.8
Africa,318,326,329,341,353,364,386,403,409,422,445,462,490,512,544,564,590,616,627,630,676,700,725,741,753,1.6,3.8
Algeria,17,19,19,21,21,21,22,23,25,27,28,29,30,32,33,36,38,40,43,41,48,56,62,65,70,7.9,6.9
Egypt,42,44,46,48,49,52,55,58,63,68,78,83,89,95,101,109,115,125,131,139,147,157,164,167,173,3.8,5.8
Nigeria,13,14,15,15,16,16,16,16,15,16,15,15,22,20,24,24,23,23,21,20,26,27,29,25,25,1.6,3.9
South Africa,167,168,168,175,182,187,202,210,205,203,211,210,221,234,245,245,254,263,258,250,260,263,258,256,253,-1.4,1.3
Middle-East,244,246,280,309,330,346,366,390,421,445,472,500,534,564,599,646,690,732,786,826,893,916,968,1005,1051,4.6,5.9
Iran,59,64,69,76,82,85,91,98,103,113,121,130,141,154,167,178,193,204,215,221,233,240,254,263,276,4.8,6.0
Kuwait,18,11,17,20,23,24,25,27,30,32,32,34,36,40,41,44,48,49,52,53,57,57,63,63,63,0.8,4.9
Saudi Arabia,69,74,82,91,94,98,101,108,115,119,126,134,142,153,160,176,181,191,204,217,240,250,272,284,304,6.9,6.5
United Arab Emirates,17,17,19,22,24,25,27,28,33,37,40,43,47,49,52,61,67,76,86,91,98,99,101,104,110,4.8,7.5
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,
