Crude oil production (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year),
Australia,27,28,27,27,25,27,26,27,29,24,32,33,31,31,27,24,22,25,23,23,23,22,22,19,18,-4.1,-3.9,
New Zealand,3,3,3,3,2,2,2,3,2,2,2,2,2,1,1,1,1,2,3,3,3,2,2,2,2,11.2,0.4,
Africa,320,334,339,338,340,348,367,382,381,374,386,387,386,416,458,479,491,502,504,489,502,427,458,423,395,-6.5,0.2,
Algeria,58,57,57,57,56,57,60,61,62,64,68,67,71,79,83,86,86,86,84,78,74,72,68,65,66,0.3,-0.3,
Egypt,45,45,46,48,46,47,45,44,43,42,36,35,35,36,33,32,32,33,35,34,35,34,34,33,33,0.3,-0.5,
Nigeria,88,92,96,97,96,98,108,117,110,107,114,120,104,117,127,128,124,115,111,114,130,127,127,119,118,-1.1,0.2,
South Africa,4,4,6,7,7,8,8,8,8,8,9,5,6,5,6,5,5,5,4,4,4,4,4,4,4,5.3,-5.2,
Middle-East,845,841,932,985,991,1001,1005,1049,1104,1070,1135,1111,1042,1126,1193,1235,1245,1226,1273,1185,1211,1316,1317,1311,1329,1.4,1.1,
Iran,164,172,187,196,194,197,194,193,194,191,199,191,189,208,211,220,223,226,223,219,222,220,165,151,154,2.1,-1.8,
Kuwait,46,9,55,98,105,106,106,106,108,99,105,103,92,111,121,135,139,135,141,119,123,141,158,165,168,2.1,3.4,
Saudi Arabia,342,435,446,440,428,430,434,429,441,406,436,423,389,458,490,514,506,486,507,457,461,520,547,540,546,1.2,1.6,
United Arab Emirates,92,105,113,110,109,109,110,115,118,109,121,117,111,124,130,133,142,140,142,126,130,143,148,158,158,-0.4,1.9,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
