Oil products domestic consumption (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
Pacific,36,36,36,36,38,39,40,41,41,42,43,43,43,46,47,48,48,48,50,48,49,50,52,53,53,0.3,1.5
Australia,31,31,30,31,32,33,34,34,35,35,36,36,36,38,39,40,40,40,41,40,41,42,44,45,45,0.0,1.5
New Zealand,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2.3,0.8
Africa,82,84,86,85,84,88,91,96,97,100,100,104,108,109,117,121,122,128,138,144,152,150,160,165,169,2.5,3.8
Algeria,8,8,8,8,8,7,7,7,7,8,8,8,9,10,10,10,11,12,13,14,14,15,16,17,18,7.8,5.9
Egypt,21,20,20,20,18,19,20,22,24,24,23,22,23,22,27,27,28,29,31,33,34,34,36,37,39,5.6,4.0
Nigeria,7,9,10,9,7,8,9,10,9,9,10,12,12,12,12,12,10,9,11,9,12,11,12,11,9,-20.9,-0.5
South Africa,15,15,15,14,15,16,16,17,17,17,17,17,17,18,19,20,20,24,24,23,24,25,25,25,26,5.0,3.2
Middle-East,133,135,149,154,163,164,171,173,178,186,193,202,208,213,227,240,249,258,274,276,272,278,297,304,308,1.3,3.4
Iran,46,48,53,53,57,56,59,60,59,63,65,68,67,67,70,75,84,86,86,87,76,76,79,79,78,-2.0,1.3
Kuwait,4,2,5,4,5,6,6,6,7,9,8,9,10,12,12,13,14,13,16,17,16,16,18,19,18,-2.7,5.8
Saudi Arabia,34,36,39,41,42,41,45,45,48,50,52,55,60,63,68,70,75,78,84,81,84,89,96,101,108,6.2,5.3
United Arab Emirates,6,7,7,7,7,7,7,7,7,7,7,8,8,9,9,10,10,11,11,12,12,12,13,13,15,11.4,5.0
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,
